,me_change
915,959369.0625
916,957274.625
917,954712.375
918,951659.8125
919,948596.8125
920,946309.9375
921,943731.3125
922,940419.875
923,937964.6875
924,935313.75
925,933098.75
926,930656.5
927,928031.75
928,926256.25
929,923888.0
930,921280.75
931,919275.25
932,917056.0
933,914725.5625
934,913164.5625
935,911469.375
936,909733.875
937,908268.9375
938,906733.5625
939,905056.625
940,903852.25
941,902080.0625
942,900840.875
943,899616.8125
944,898232.5
945,896719.0
946,895074.625
947,893272.25
948,892449.875
949,891209.5
950,889134.8125
951,887800.4375
952,886726.125
953,885488.875
954,884132.125
955,882671.375
956,881105.0
957,879411.1875
958,877475.1875
959,876630.9375
960,875589.75
961,873847.125
962,871472.25
963,870881.0
964,869940.875
965,868755.0625
966,867398.875
967,865896.6875
968,864250.9375
969,862438.375
970,860414.0625
971,858638.375
972,857689.75
973,856093.0
974,853967.0
975,852654.8125
976,851095.5
977,849802.8125
978,848247.6875
979,847108.125
980,845604.1875
981,843950.6875
982,842565.5
983,840919.0
984,839545.0
985,838050.9375
986,836694.375
987,835148.0
988,834262.5
989,832749.125
990,830956.1875
991,829633.875
992,828027.6875
993,826811.625
994,825316.75
995,824110.125
996,822620.875
997,821784.875
998,820471.6875
999,818546.125
1000,817929.75
1001,816968.875
1002,815759.0
1003,814368.0
1004,812801.9375
1005,811059.5
1006,809544.125
1007,808528.625
1008,806805.0
1009,805968.3125
1010,804996.75
1011,803817.5
1012,802515.375
1013,801092.125
1014,799506.375
1015,798549.0
1016,797568.0
1017,795853.125
1018,794893.9375
1019,794005.5625
1020,792959.375
1021,791795.4375
1022,790530.5625
1023,789160.75
1024,787667.75
1025,786431.9375
1026,785378.25
1027,783971.0625
1028,782942.375
1029,781741.0
1030,780349.1875
1031,779921.25
1032,778773.0625
1033,776906.5625
1034,776451.75
1035,775731.125
1036,774807.9375
1037,773729.5625
1038,772518.4375
1039,771173.125
1040,769876.625
1041,768435.875
1042,768101.0
1043,767409.875
1044,765904.375
1045,764310.6875
1046,763592.9375
1047,762732.125
1048,761746.0625
1049,760619.625
1050,759327.5
1051,758840.5
1052,758089.0
1053,756681.4375
1054,755674.75
1055,755060.125
1056,754206.125
1057,753144.5625
1058,751880.625
1059,750758.8125
1060,750002.875
1061,748792.0
1062,748247.4375
1063,747572.3125
1064,746650.5
1065,745498.0
1066,744071.75
1067,743278.125
1068,742330.9375
1069,741278.875
1070,740818.375
1071,739940.625
1072,738644.375
1073,737910.125
1074,737114.9375
1075,735946.0
1076,734451.25
1077,733796.25
1078,733152.25
1079,732110.5
1080,730715.9375
1081,729973.75
1082,729056.75
1083,727671.6875
1084,726407.875
1085,725696.125
1086,724580.0
1087,723734.375
1088,722795.4375
1089,721399.375
1090,720820.875
1091,719985.75
1092,718859.125
1093,717488.9375
1094,716738.125
1095,716008.875
1096,714610.9375
1097,713589.625
1098,712869.75
1099,711845.3125
1100,710569.8125
1101,709593.875
1102,708783.5
1103,707445.1875
1104,706807.6875
1105,706089.75
1106,705090.0
1107,703836.25
1108,702539.4375
1109,701555.25
1110,700157.3125
1111,698830.1875
1112,697617.25
1113,696113.1875
1114,694881.0625
1115,693522.3125
1116,691924.0
1117,690855.0
1118,689440.9375
1119,687438.1875
1120,685924.0625
1121,684568.25
1122,683094.125
1123,681665.1875
1124,680409.6875
1125,678952.5625
